NAME,ROW,COL,RAD,SET
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/0.png,15,50,13,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/1.png,15,69,50,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/2.png,93,33,58,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/3.png,144,27,34,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/4.png,81,153,19,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/5.png,160,96,25,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/6.png,8,138,91,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/7.png,33,123,42,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/8.png,173,63,56,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/9.png,188,157,55,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/10.png,68,163,68,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/11.png,180,10,81,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/12.png,103,27,69,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/13.png,11,141,95,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/14.png,74,140,97,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/15.png,53,53,52,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/16.png,75,32,84,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/17.png,127,6,61,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/18.png,161,109,47,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/19.png,150,60,13,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/20.png,87,7,19,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/21.png,22,123,66,train
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/22.png,95,103,95,train
