NAME,ROW,COL,RAD
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/0.npy,179,76,98
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/1.npy,20,193,96
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/2.npy,110,10,99
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/3.npy,195,162,40
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/4.npy,168,66,85
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/5.npy,67,90,33
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/6.npy,56,135,12
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/7.npy,34,164,56
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/8.npy,22,102,29
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/9.npy,60,93,66
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/10.npy,186,104,25
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/11.npy,57,121,66
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/12.npy,92,3,76
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/13.npy,50,152,58
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/14.npy,185,118,54
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/15.npy,192,94,42
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/16.npy,139,20,68
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/17.npy,147,181,96
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/18.npy,86,97,79
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/19.npy,166,190,98
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/20.npy,97,192,91
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/21.npy,52,115,10
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/22.npy,138,34,47
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/23.npy,170,108,76
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/24.npy,96,177,60
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/25.npy,135,17,67
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/26.npy,67,2,55
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/27.npy,15,85,72
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/28.npy,51,159,45
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/29.npy,131,188,81
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/30.npy,126,110,76
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/31.npy,94,52,76
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/32.npy,95,159,61
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/33.npy,172,159,59
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/34.npy,22,189,39
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/35.npy,86,98,72
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/36.npy,114,62,28
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/37.npy,150,46,10
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/38.npy,19,193,27
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/39.npy,122,30,22
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/40.npy,145,90,21
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/41.npy,52,32,38
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/42.npy,5,118,52
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/43.npy,106,149,24
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/44.npy,153,176,60
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/45.npy,154,102,63
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/46.npy,108,77,41
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/47.npy,113,2,27
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/48.npy,194,57,30
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/49.npy,152,128,88
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/50.npy,84,110,58
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/51.npy,110,75,80
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/52.npy,143,151,71
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/53.npy,92,36,19
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/54.npy,144,108,75
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/55.npy,144,177,32
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/56.npy,166,97,34
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/57.npy,192,65,17
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/58.npy,196,79,53
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/59.npy,72,197,99
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/60.npy,76,120,91
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/61.npy,135,116,40
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/62.npy,144,42,88
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/63.npy,29,140,63
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/64.npy,185,11,74
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/65.npy,71,117,94
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/66.npy,4,189,84
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/67.npy,79,6,18
/Users/naomipark/Desktop/jpl_internship/naomipark_mirsi/border_detection/dataset/train/68.npy,1,179,54
